study,year,treat,events,n,timepoint,setting,rob_overall,sensitivity_flag,notes
Jabre 2009,2009,Etomidate,81,234,28-day,Mixed,Some concerns,,mITT analysis
Jabre 2009,2009,Ketamine,72,235,28-day,Mixed,Some concerns,,mITT analysis
Cinar 2011,2011,Etomidate,5,12,ICU,ICU,Some concerns,midazolam_adjunct,Midazolam 0.03 mg/kg in ketamine arm
Cinar 2011,2011,Ketamine,8,10,ICU,ICU,Some concerns,midazolam_adjunct,Midazolam 0.03 mg/kg in ketamine arm
Punt 2014,2014,Etomidate,61,161,28-day,ICU,High risk,midazolam_adjunct,Cluster-randomized; midazolam 2.5 mg in S-ketamine arm
Punt 2014,2014,Ketamine,54,140,28-day,ICU,High risk,midazolam_adjunct,Cluster-randomized; midazolam 2.5 mg in S-ketamine arm
Smischney 2019,2019,Etomidate,26,73,Hospital,ICU,Some concerns,,Reduced dose etomidate 0.15 mg/kg
Smischney 2019,2019,Ketofol,25,79,Hospital,ICU,Some concerns,,Ketamine 0.5 + propofol 0.5 mg/kg
Matchett 2022,2022,Etomidate,142,396,28-day,ICU,Some concerns,,
Matchett 2022,2022,Ketamine,131,395,28-day,ICU,Some concerns,,
Knack 2023,2023,Etomidate,15,73,30-day,ED,Some concerns,,
Knack 2023,2023,Ketamine,8,70,30-day,ED,Some concerns,,
Srivilaithon 2023,2023,Etomidate,25,130,28-day,ED,Some concerns,,Sepsis-only population
Srivilaithon 2023,2023,Ketamine,35,130,28-day,ED,Some concerns,,Sepsis-only population
Casey 2025,2025,Etomidate,345,1186,28-day,Mixed,Some concerns,,In-hospital death by 28 days
Casey 2025,2025,Ketamine,330,1173,28-day,Mixed,Some concerns,,In-hospital death by 28 days
Agarwal 2025,2025,Etomidate,8,40,28-day,ED,Some concerns,,Sepsis-only population
Agarwal 2025,2025,Ketamine,11,40,28-day,ED,Some concerns,,Sepsis-only population
Schmidt 2025,2025,Propofol,42,84,Hospital,ICU,Some concerns,,mITT; hospital mortality censored day 60
Schmidt 2025,2025,Ketamine,55,91,Hospital,ICU,Some concerns,,mITT; esketamine 2 mg/kg
