Study,D1,D2,D3,D4,D5,Overall,Weight
Jabre 2009,Low,Some concerns,Some concerns,Low,Low,Some concerns,469
Cinar 2011,Some concerns,Low,Low,Low,Some concerns,Some concerns,22
Punt 2014,High,Some concerns,Low,Low,Low,High,301
Smischney 2019,Low,Some concerns,Low,Low,Low,Some concerns,152
Matchett 2022,Low,Some concerns,Low,Low,Low,Some concerns,791
Knack 2023,Low,Some concerns,Low,Low,Some concerns,Some concerns,143
Srivilaithon 2023,Low,Some concerns,Low,Low,Some concerns,Some concerns,260
Casey 2025,Low,Some concerns,Low,Low,Low,Some concerns,2359
Agarwal 2025,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,80
Schmidt 2025,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,175
