study,year,treat,events,n,timepoint_category,timepoint_detail,definition,notes
Cinar 2011,2011,Etomidate,2,12,Peri-intubation,During intubation,Vasopressor use during intubation,
Cinar 2011,2011,Ketamine,2,10,Peri-intubation,During intubation,Vasopressor use during intubation,
Smischney 2019,2019,Ketofol,18,79,Peri-intubation,5 min,New-onset vasopressor at 5 min,
Smischney 2019,2019,Etomidate,13,73,Peri-intubation,5 min,New-onset vasopressor at 5 min,
Casey 2025,2025,Ketamine,251,1176,Peri-intubation,Induction to 2 min,New/increased vasopressor,Component of CV collapse
Casey 2025,2025,Etomidate,189,1189,Peri-intubation,Induction to 2 min,New/increased vasopressor,Component of CV collapse
Schmidt 2025,2025,Ketamine,15,91,Peri-intubation,Within 2 min,Increased vasopressor dose within 2 min,Component of CV collapse
Schmidt 2025,2025,Propofol,25,84,Peri-intubation,Within 2 min,Increased vasopressor dose within 2 min,Component of CV collapse
Matchett 2022,2022,Etomidate,65,345,Peri-intubation,Post-induction,Post-induction vasopressor bolus,~12% missing; nurses code sheets unavailable for 51/396 E and 41/395 K
Matchett 2022,2022,Ketamine,92,354,Peri-intubation,Post-induction,Post-induction vasopressor bolus,~12% missing; nurses code sheets unavailable for 51/396 E and 41/395 K
Srivilaithon 2023,2023,Etomidate,57,130,24 hours,Within 24 hours,Vasopressor use within 24h after intubation,
Srivilaithon 2023,2023,Ketamine,23,130,24 hours,Within 24 hours,Vasopressor use within 24h after intubation,
Casey 2025,2025,Etomidate,458,1082,24 hours,At 24 hours,Receipt of vasopressors at 24h,107 missing (died/discharged)
Casey 2025,2025,Ketamine,420,1079,24 hours,At 24 hours,Receipt of vasopressors at 24h,97 missing (died/discharged)
Jabre 2009,2009,Etomidate,137,234,Extended,During ICU stay,Any catecholamine support during ICU stay,
Jabre 2009,2009,Ketamine,120,235,Extended,During ICU stay,Any catecholamine support during ICU stay,
Matchett 2022,2022,Etomidate,235,396,Extended,Days 1-4,Vasopressor/inotrope infusion during Days 1-4,From ICU flowsheets
Matchett 2022,2022,Ketamine,213,395,Extended,Days 1-4,Vasopressor/inotrope infusion during Days 1-4,From ICU flowsheets
Smischney 2019,2019,Ketofol,64,79,Extended,15 min to 24 hours,Delayed new-onset vasopressor,
Smischney 2019,2019,Etomidate,57,73,Extended,15 min to 24 hours,Delayed new-onset vasopressor,
