Panel,Outcome,Comparison,Direct_studies_k,Total_N,Evidence_type,OR,CI_lower,CI_upper,I2_pct,Certainty
A,Short-term mortality,Ketamine vs Etomidate,8,4425,Direct,0.97,0.81,1.16,25,Moderate
A,Short-term mortality,Ketofol vs Etomidate,1,152,Direct,0.84,0.41,1.71,25,Low
A,Short-term mortality,Propofol vs Etomidate,0,,Indirect,0.63,0.32,1.24,25,Very low
A,Short-term mortality,Ketamine vs Propofol,1,175,Direct,1.53,0.80,2.92,25,Low
B,Cardiovascular collapse,Ketamine vs Etomidate,2,3156,NMA (k=3),1.44,1.20,1.71,0,Moderate
B,Post-induction hypotension,Ketamine vs Etomidate,4,2776,NMA (k=5),1.32,1.05,1.65,0,Low
B,Vasopressor use peri-intubation,Ketamine vs Etomidate,2,2387,NMA (k=4),1.43,1.16,1.77,0,Low
B,Vasopressor use 24 hours,Ketamine vs Etomidate,3,2501,Pairwise (k=3),2.13,0.80,5.70,93,Very low
B,First-pass intubation success,Ketamine vs Etomidate,5,3623,NMA (k=6),0.94,0.77,1.15,0,Moderate
B,Peri-intubation cardiac arrest,Ketamine vs Etomidate,5,3196,NMA (k=7),0.97,0.52,1.81,0,Low
