"Outcome","Comparison","OR","CI_lower","CI_upper","pval"
"Mortality","Ketamine vs Etomidate",0.96,0.8,1.16,0.657
"Mortality","Ketofol vs Etomidate",0.84,0.41,1.72,0.629
"Mortality","Propofol vs Etomidate",0.63,0.32,1.24,0.178
"CV Collapse","Ketamine vs Etomidate",1.44,1.2,1.71,0
"CV Collapse","Propofol vs Etomidate",2.55,1.27,5.11,0.008
"Hypotension","Ketamine vs Etomidate",1.34,1.07,1.68,0.012
"Hypotension","Propofol vs Etomidate",1.94,1.02,3.7,0.044
"First-Pass Success","Ketamine vs Etomidate",0.95,0.77,1.16,0.586
"First-Pass Success","Propofol vs Etomidate",0.85,0.42,1.73,0.654
"Cardiac Arrest","Ketamine vs Etomidate",1.13,0.7,1.82,0.628
"Cardiac Arrest","Ketofol vs Etomidate",4.74,0.22,100.44,0.318
"Cardiac Arrest","Propofol vs Etomidate",0.97,0.23,4.06,0.965
